data;vxewz
5-nov-15;41.2
4-nov-15;41.75
3-nov-15;40.44
2-nov-15;42.69
30-out-15;43.32
29-out-15;45.56
28-out-15;45.86
27-out-15;46.05
26-out-15;47.26
23-out-15;46.51
22-out-15;46.94
21-out-15;48.22
20-out-15;48.39
19-out-15;49.86
16-out-15;49.39
15-out-15;49.5
14-out-15;49.84
13-out-15;51.11
12-out-15;48.57
9-out-15;46.8
8-out-15;47.95
7-out-15;48.96
6-out-15;48.7
5-out-15;49.44
2-out-15;51.42
1-out-15;53.5
30-set-15;55.23
29-set-15;59.33
28-set-15;59.38
25-set-15;55.48
24-set-15;58.54
23-set-15;55.07
22-set-15;52.61
21-set-15;50.22
18-set-15;48.97
17-set-15;47.23
16-set-15;49.34
15-set-15;52.46
14-set-15;53.68
11-set-15;53.11
10-set-15;53.91
9-set-15;52.1
8-set-15;53.57
4-set-15;55.87
3-set-15;52.88
2-set-15;53.65
1-set-15;55.32
31-ago-15;48.25
28-ago-15;46.13
27-ago-15;43.32
26-ago-15;46.01
25-ago-15;50.58
24-ago-15;52.03
21-ago-15;48.76
20-ago-15;40.53
19-ago-15;40.05
18-ago-15;39.42
17-ago-15;39.48
14-ago-15;40.51
13-ago-15;41.4
12-ago-15;40.93
11-ago-15;40.74
10-ago-15;39.66
7-ago-15;39.88
6-ago-15;38.95
5-ago-15;37.3
4-ago-15;37.34
3-ago-15;37.72
31-jul-15;36.33
30-jul-15;37.08
29-jul-15;36.61
28-jul-15;39.66
27-jul-15;40.66
24-jul-15;38.08
23-jul-15;35.24
22-jul-15;32.37
21-jul-15;31.37
20-jul-15;31.18
17-jul-15;30.06
16-jul-15;28.52
15-jul-15;29.08
14-jul-15;29.09
13-jul-15;29.23
10-jul-15;31.52
9-jul-15;32.33
8-jul-15;33.47
7-jul-15;31.68
6-jul-15;31.27
2-jul-15;29.35
1-jul-15;29.62
30-jun-15;30.3
29-jun-15;30.83
26-jun-15;29.22
25-jun-15;29.14
24-jun-15;27.63
23-jun-15;28.15
22-jun-15;29.17
19-jun-15;29.77
18-jun-15;30.01
17-jun-15;30.33
16-jun-15;31.32
15-jun-15;32.01
12-jun-15;31.28
11-jun-15;30.63
10-jun-15;30.29
9-jun-15;31.34
8-jun-15;31.65
5-jun-15;31.62
4-jun-15;31.56
3-jun-15;31.32
2-jun-15;31.66
1-jun-15;32.52
29-mai-15;32.07
28-mai-15;31.94
27-mai-15;31.56
26-mai-15;31.56
22-mai-15;28.99
21-mai-15;29.08
20-mai-15;29.37
19-mai-15;29.76
18-mai-15;29.41
15-mai-15;28.84
14-mai-15;29.5
13-mai-15;29.63
12-mai-15;30.76
11-mai-15;30.61
8-mai-15;30.49
7-mai-15;32.67
6-mai-15;32.73
5-mai-15;32.53
4-mai-15;32.72
1-mai-15;32.24
30-abr-15;32.87
29-abr-15;32.63
28-abr-15;32.09
27-abr-15;32.17
24-abr-15;31.42
23-abr-15;31.76
22-abr-15;32.8
21-abr-15;33.8
20-abr-15;34.16
17-abr-15;34.02
16-abr-15;33.57
15-abr-15;33.85
14-abr-15;34.52
13-abr-15;34.85
10-abr-15;34.45
9-abr-15;34.58
8-abr-15;34.37
7-abr-15;35.59
6-abr-15;36.33
2-abr-15;35.79
